Engine,Time,Memory_MB,Threads,NumRecords
Polars,8.178112983703613,2566.92578125,1,5000000
DuckDB,29.132549285888672,3097.0703125,1,5000000
PySpark,66.3354184627533,2846.7109375,1,5000000
Polars,4.885604619979858,3779.8046875,2,5000000
DuckDB,22.902459621429443,2071.73046875,2,5000000
PySpark,89.6619234085083,2782.22265625,2,5000000
Polars,6.959506511688232,4202.671875,4,5000000
DuckDB,24.09628224372864,2066.18359375,4,5000000
PySpark,69.96516919136047,3377.515625,4,5000000
Polars,10.010263919830322,3446.16015625,8,5000000
DuckDB,26.3033664226532,2073.8359375,8,5000000
PySpark,61.55651330947876,2746.15234375,8,5000000
Polars,4.885604619979858,3779.8046875,2,5000000
DuckDB,22.902459621429443,2071.73046875,2,5000000
PySpark,89.6619234085083,2782.22265625,2,5000000
Polars,6.959506511688232,4202.671875,4,5000000
DuckDB,24.09628224372864,2066.18359375,4,5000000
PySpark,69.96516919136047,3377.515625,4,5000000
Polars,10.010263919830322,3446.16015625,8,5000000
DuckDB,26.3033664226532,2073.8359375,8,5000000
PySpark,61.55651330947876,2746.15234375,8,5000000
Polars,4.885604619979858,3779.8046875,2,5000000
DuckDB,22.902459621429443,2071.73046875,2,5000000
PySpark,89.6619234085083,2782.22265625,2,5000000
Polars,6.959506511688232,4202.671875,4,5000000
DuckDB,24.09628224372864,2066.18359375,4,5000000
PySpark,69.96516919136047,3377.515625,4,5000000
Polars,10.010263919830322,3446.16015625,8,5000000
DuckDB,26.3033664226532,2073.8359375,8,5000000
PySpark,61.55651330947876,2746.15234375,8,5000000
Polars,4.885604619979858,3779.8046875,2,5000000
DuckDB,22.902459621429443,2071.73046875,2,5000000
PySpark,89.6619234085083,2782.22265625,2,5000000
Polars,6.959506511688232,4202.671875,4,5000000
DuckDB,24.09628224372864,2066.18359375,4,5000000
PySpark,69.96516919136047,3377.515625,4,5000000
Polars,10.010263919830322,3446.16015625,8,5000000
DuckDB,26.3033664226532,2073.8359375,8,5000000
PySpark,61.55651330947876,2746.15234375,8,5000000
Polars,4.885604619979858,3779.8046875,2,5000000
DuckDB,22.902459621429443,2071.73046875,2,5000000
PySpark,89.6619234085083,2782.22265625,2,5000000
Polars,6.959506511688232,4202.671875,4,5000000
DuckDB,24.09628224372864,2066.18359375,4,5000000
PySpark,69.96516919136047,3377.515625,4,5000000
Polars,10.010263919830322,3446.16015625,8,5000000
DuckDB,26.3033664226532,2073.8359375,8,5000000
PySpark,61.55651330947876,2746.15234375,8,5000000
Polars,4.885604619979858,3779.8046875,2,5000000
DuckDB,22.902459621429443,2071.73046875,2,5000000
PySpark,89.6619234085083,2782.22265625,2,5000000
Polars,6.959506511688232,4202.671875,4,5000000
DuckDB,24.09628224372864,2066.18359375,4,5000000
PySpark,69.96516919136047,3377.515625,4,5000000
Polars,10.010263919830322,3446.16015625,8,5000000
DuckDB,26.3033664226532,2073.8359375,8,5000000
PySpark,61.55651330947876,2746.15234375,8,5000000
